Date,ARA,BFC,BRE,CVL,COR,GES,HDF,IDF,NOR,NAQ,OCC,PDL,PAC,LRE,MF,BL,MQ,GUA,MAY,GF,New Cases,Total Cases,,
1/24/2020,,,,,,,,2,,1,,,,,,,,,,,3,3,,
1/28/2020,,,,,,,,1,,,,,,,,,,,,,1,4,,
1/29/2020,,,,,,,,1,,,,,,,,,,,,,1,5,,
1/30/2020,,,,,,,,1,,,,,,,,,,,,,1,6,,
2/8/2020,5,,,,,,,,,,,,,,,,,,,,5,11,,
2/14/2020,,,,,,,,,,,,,,,,,,,,,,11,,
2/15/2020,1,,,,,,,,,,,,,,,,,,,,1,12,,
2/25/2020,1,,,,,,,1,,,,,,,,,,,,,2,14,,
2/26/2020,1,,,,,1,2,,,,,,,,,,,,,,4,18,,
2/27/2020,3,4,1,,,,2,3,1,,1,1,,,,,,,,,16,34,,
2/28/2020,2,1,,,,,1,2,,2,2,3,1,,,,,,,,14,48,,
2/29/2020,4,4,3,,,,,1,,1,1,,3,,,,,,,,17,65,,
3/1/2020,5,,,,,4,44,,,,,,3,,2,,,,,,58,123,,
3/2/2020,15,4,15,,,7,8,25,1,,2,1,2,,,,,,,,80,203,,
3/3/2020,3,,,,,1,2,,,1,1,,1,,,,,,,,9,212,,
3/4/2020,9,3,4,,,25,6,18,,3,2,2,3,,,,,,,3,78,290,,
3/5/2020,15,23,6,2,3,39,9,21,4,,2,1,5,,,,,,,2,132,422,,
3/6/2020,11,39,3,9,,59,23,13,5,3,7,8,8,,,,2,,,,190,612,,
3/7/2020,27,28,8,5,2,114,76,89,,6,18,2,12,,,,,,,,387,999,,
3/8/2020,45,6,19,1,28,12,,65,11,12,11,7,14,,,,,,,,231,1230,,
3/9/2020,35,7,12,,5,48,8,57,3,10,13,1,20,,,,,,,,219,1449,,
3/10/2020,29,27,10,1,4,154,28,34,12,15,1,1,17,,,,1,,,,334,1783,,
3/11/2020,53,9,13,2,9,114,54,158,17,12,26,7,22,1,,,,,,,497,2280,,
3/12/2020,65,64,23,10,13,121,86,85,14,21,46,7,36,2,,,1,,,1,595,2875,,
3/13/2020,87,53,38,3,21,212,48,144,29,27,39,14,65,2,,,2,1,,,785,3660,,
3/14/2020,38,67,27,21,21,174,69,228,30,16,42,27,69,1,,,4,2,1,1,838,4498,,
3/15/2020,69,73,25,17,9,293,41,260,16,14,29,16,49,3,,2,5,3,,,924,5422,,
3/16/2020,95,95,26,19,11,165,78,553,13,34,19,10,75,,,,1,12,,4,1210,6632,,
3/17/2020,92,42,14,13,19,277,27,415,18,22,49,18,73,3,1,,3,9,2,,1097,7729,,
3/18/2020,148,44,26,25,7,343,53,516,34,37,60,2,93,2,1,,4,6,,,1401,9130,,
3/19/2020,291,64,27,18,3,299,152,503,6,20,62,28,100,,,,1,,,,1574,10704,,
3/20/2020,136,102,-2,29,99,387,76,609,32,26,63,27,97,,,,2,,,,1683,12387,,
3/21/2020,80,38,18,9,5,214,-2,413,20,44,48,9,77,,1,,,,,,974,13361,,
3/22/2020,145,152,27,16,-1,288,88,491,29,49,68,29,80,,,,,6,,,1467,14828,,
3/23/2020,277,121,17,53,11,475,174,862,40,75,87,56,149,,,,,,,,2397,17225,,
3/24/2020,204,176,21,30,11,620,171,799,36,89,90,63,128,1,,,5,,,,2444,19669,,
3/25/2020,360,194,44,44,22,566,168,1031,76,123,128,65,170,,,,10,,,,3001,22670,,
3/26/2020,311,163,57,54,27,529,191,1072,62,116,131,75,162,,,,8,19,,,2977,25647,,
3/27/2020,357,107,35,69,14,498,134,1067,55,119,106,110,175,,,,15,11,,,2872,28519,,
3/28/2020,390,117,42,68,7,521,217,1179,96,36,140,103,167,12,,,11,18,,,3124,31643,,
3/29/2020,298,158,53,75,-2,356,144,860,84,91,111,82,168,43,,,8,1,,,2530,34173,,
3/30/2020,342,107,30,130,13,458,170,1029,44,165,103,37,211,4,,,,2,,,2845,37018,,
3/31/2020,325,110,31,66,10,609,278,1661,114,91,122,72,237,5,,,10,4,,,3745,40763,,
4/1/2020,413,32,63,101,,606,296,1712,85,98,147,90,201,6,,,4,6,1,10,3871,44634,,
4/2/2020,307,199,82,126,,491,384,1321,102,98,134,74,211,5,,,,5,12,1,3552,48186,,
4/3/2020,339,132,44,94,11,504,337,1301,66,62,103,103,223,4,,,-1,6,9,2,3339,51525,,
4/4/2020,223,142,31,110,9,339,256,1030,71,57,59,80,160,3,,,-1,1,2,,2572,54097,,
4/5/2020,201,95,28,57,-1,258,147,685,57,48,85,47,130,,,,5,1,3,,1846,55943,,
4/6/2020,204,126,71,90,-1,327,231,967,48,70,83,44,220,3,,,2,5,4,,2494,58437,,
4/7/2020,233,156,38,69,2,464,341,1212,75,82,103,80,124,1,,,,,4,2,2986,61423,,
4/8/2020,208,114,71,103,-7,332,256,1260,46,88,63,68,184,5,,,,4,7,2,2804,64227,,
